poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,yes,no,alternate_answers
86591,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,3/18/24,3/28/24,,"",,196155,868,rv,,rv,,4/4/24 09:55,"",https://law.marquette.edu/poll/2024/04/03/detailed-results-of-the-marquette-law-school-supreme-court-poll-march-18-28-2024-2/,"",,,47.0,53.0,0
86591,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,3/18/24,3/28/24,,"",,196156,674,lv,,lv,,4/4/24 09:55,"",https://law.marquette.edu/poll/2024/04/03/detailed-results-of-the-marquette-law-school-supreme-court-poll-march-18-28-2024-2/,"",,,48.0,52.0,0
86558,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/24/24,3/26/24,,"",,195436,1594,a,,a,,3/27/24 12:16,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_OIu7o2C.pdf,"",,,32.0,54.0,14.0
86558,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/24/24,3/26/24,,"",,195437,1415,rv,,rv,,3/27/24 12:16,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_mTlzQOB.pdf,"",,,37.0,55.0,8.0
86559,396,Quinnipiac,"","",Quinnipiac University,267,Quinnipiac University,2.8,-0.5,Live Phone,9.0,,3/21/24,3/25/24,,"",,195514,1407,rv,,rv,,3/27/24 14:16,"",https://poll.qu.edu/poll-release?releaseid=3894,"",,,34.0,58.0,8.0
86559,396,Quinnipiac,"","",Quinnipiac University,267,Quinnipiac University,2.8,-0.5,Live Phone,9.0,,3/21/24,3/25/24,,"",,195518,1569,a,,a,,3/27/24 14:16,"",https://poll.qu.edu/poll-release?releaseid=3894,"",,,32.0,58.0,10.0
86498,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/16/24,3/19/24,,"",,194821,1682,a,,a,,3/20/24 11:22,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_pFmhP6O.pdf,"",,,36.0,50.0,14.0
86498,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/16/24,3/19/24,,"",,194822,1510,rv,,rv,,3/20/24 11:22,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_dyZbfXi.pdf,"",,,39.0,51.0,10.0
86463,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/10/24,3/12/24,,"",,194573,1559,a,,a,,3/13/24 10:39,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_F5x8o9g.pdf,"",,,43.0,44.0,14.0
86463,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/10/24,3/12/24,,"",,194574,1367,rv,,rv,,3/13/24 10:39,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Ba6mR1n.pdf,"",,,47.0,44.0,9.0
86459,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/8/24,3/11/24,,"",,194677,1482,a,,a,,3/15/24 13:58,"",https://www.yahoo.com/news/yahoo-newsyougov-poll-no-state-of-the-union-bump-for-biden-190451496.html,"",,,42.0,45.0,13.0
86459,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/8/24,3/11/24,,"",,194678,992,rv,,rv,,3/15/24 13:58,"",https://www.yahoo.com/news/yahoo-newsyougov-poll-no-state-of-the-union-bump-for-biden-190451496.html,"",,,47.0,45.0,8.0
86297,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/3/24,3/5/24,,"",,194162,1556,a,,a,,3/6/24 11:04,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_9OpjhGt.pdf,"",,,40.0,48.0,12.0
86297,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,3/3/24,3/5/24,,"",,194163,1450,rv,,rv,,3/6/24 11:04,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nmFBeqb.pdf,"",,,41.0,50.0,9.0
86215,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/25/24,2/27/24,,"",,193709,1688,a,,a,,2/28/24 09:58,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_XFw0j7s.pdf,"",,,38.0,49.0,13.0
86215,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/25/24,2/27/24,,"",,193710,1498,rv,,rv,,2/28/24 09:58,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_hi9l9P2.pdf,"",,,41.0,52.0,8.0
86145,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/18/24,2/20/24,,"",,193104,1562,a,,a,,2/21/24 10:58,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_J89zQ0v.pdf,"",,,46.0,39.0,14.0
86145,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/18/24,2/20/24,,"",,193105,1360,rv,,rv,,2/21/24 10:58,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_LbK5uKN.pdf,"",,,48.0,42.0,9.0
86148,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,2/5/24,2/15/24,,"",,193136,1003,a,,a,,2/21/24 15:29,"",https://law.marquette.edu/poll/2024/02/20/detailed-results-of-the-marquette-law-school-supreme-court-poll-february-5-15-2024/,"",,,40.0,60.0,0
86148,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,2/5/24,2/15/24,,"",,193137,787,rv,,rv,,2/21/24 15:29,"",https://law.marquette.edu/poll/2024/02/20/detailed-results-of-the-marquette-law-school-supreme-court-poll-february-5-15-2024/,"",,,45.0,55.0,0
86148,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,2/5/24,2/15/24,,"",,193443,628,lv,,lv,,2/22/24 09:45,"",https://law.marquette.edu/poll/2024/02/21/detailed-results-of-the-marquette-law-school-supreme-court-poll-february-5-15-2024-2/,"",,,43.0,57.0,0
85938,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/11/24,2/13/24,,"",,192071,1671,a,,a,,2/14/24 10:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_CLPOIop.pdf,"",,,42.0,44.0,14.0
85938,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/11/24,2/13/24,,"",,192072,1470,rv,,rv,,2/14/24 10:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_bC3K16R.pdf,"",,,45.0,46.0,9.0
85859,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/4/24,2/6/24,,"",,191821,1591,a,,a,,2/7/24 10:42,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_PJ4ynwY.pdf,"",,,39.0,49.0,12.0
85859,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,2/4/24,2/6/24,,"",,191822,1399,rv,,rv,,2/7/24 10:42,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_H1zTWuF.pdf,"",,,41.0,50.0,8.0
85772,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/28/24,1/30/24,,"",,191356,1686,a,,a,,1/31/24 10:59,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_f35zM8U.pdf,"",,,31.0,54.0,16.0
85772,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/28/24,1/30/24,,"",,191357,1486,rv,,rv,,1/31/24 10:59,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_f5kOruS.pdf,"",,,35.0,54.0,11.0
85842,568,YouGov,"278,1233",UMass Amherst | WCVB-TV,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/25/24,1/30/24,,"",,191771,1064,a,,a,,2/6/24 09:28,"",https://polsci.umass.edu/state-nation-toplines-crosstabs-feb-6-2024,"",,,41.0,48.0,11.0
85699,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/21/24,1/23/24,,"",,191087,1664,a,,a,,1/24/24 11:12,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_kPUXgWx.pdf,"",,,39.0,47.0,14.0
85699,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/21/24,1/23/24,,"",,191088,1497,rv,,rv,,1/24/24 11:12,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_i9N6Z0N.pdf,"",,,42.0,49.0,9.0
85626,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/14/24,1/16/24,,"",,190396,1660,a,,a,,1/17/24 10:50,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Jt39PjS.pdf,"",,,38.0,46.0,17.0
85626,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/14/24,1/16/24,,"",,190397,1472,rv,,rv,,1/17/24 10:50,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_HvTrDQB.pdf,"",,,41.0,49.0,10.0
85578,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/7/24,1/9/24,,"",,190175,1593,a,,a,,1/10/24 10:02,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_O5mTWEc.pdf,"",,,43.0,42.0,15.0
85578,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,1/7/24,1/9/24,,"",,190176,1417,rv,,rv,,1/10/24 10:02,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wOkNqe4.pdf,"",,,45.0,46.0,10.0
85493,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/31/23,1/2/24,,"",,189621,1521,a,,a,,1/3/24 10:44,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_X9asmDv.pdf,"",,,38.0,47.0,15.0
85493,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/31/23,1/2/24,,"",,189622,1343,rv,,rv,,1/3/24 10:44,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_11nGFKX.pdf,"",,,43.0,48.0,9.0
85486,1554,RMG Research,"","",RMG Research,555,RMG Research,2.3,-0.4,,5.0,,12/20/23,12/21/23,,"",,189584,1000,rv,,rv,,12/29/23 16:29,Disapproval number provided by Scott Rasmussen through email,https://twitter.com/RMG_Research/status/1740169486307844371,"",,,41.0,51.0,0
85453,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/16/23,12/18/23,,"",,189310,1500,a,,a,,12/20/23 09:30,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_FBzrwMv.pdf,"",,,36.0,46.0,18.0
85453,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/16/23,12/18/23,,"",,189311,1336,rv,,rv,,12/20/23 09:30,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pJolTxJ.pdf,"",,,40.0,50.0,10.0
85335,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/9/23,12/12/23,,"",,188709,1500,a,,a,,12/13/23 09:28,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_O1RjLdq.pdf,"",,,35.0,51.0,14.0
85335,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/9/23,12/12/23,,"",,188710,1332,rv,,rv,,12/13/23 09:28,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_y2MuS3t.pdf,"",,,38.0,53.0,9.0
84875,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/2/23,12/5/23,,"",,188006,1500,a,,a,,12/6/23 10:16,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_41LGsxk.pdf,"",,,35.0,49.0,16.0
84875,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,12/2/23,12/5/23,,"",,188007,1291,rv,,rv,,12/6/23 10:16,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_BOEC4TZ.pdf,"",,,41.0,49.0,11.0
84832,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/25/23,11/27/23,,"",,187780,1500,a,,a,,11/29/23 09:47,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_hzXyZ87.pdf,"",,,38.0,48.0,13.0
84832,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/25/23,11/27/23,,"",,187781,1323,rv,,rv,,11/29/23 09:47,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_3GgK6Vy.pdf,"",,,42.0,51.0,7.0
84819,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/18/23,11/20/23,,"",,187648,1500,a,,a,,11/22/23 09:02,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_7kHym5K.pdf,"",,,43.0,40.0,17.0
84819,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/18/23,11/20/23,,"",,187649,1323,rv,,rv,,11/22/23 09:02,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ewAQzcE.pdf,"",,,47.0,42.0,10.0
84681,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/11/23,11/14/23,,"",,186252,1500,a,,a,,11/15/23 10:06,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_bKk3Qa1.pdf,"",,,40.0,47.0,13.0
84681,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/11/23,11/14/23,,"",,186253,1272,rv,,rv,,11/15/23 10:06,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_g1diQvj.pdf,"",,,45.0,47.0,8.0
84611,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/5/23,11/7/23,,"",,185163,1500,a,,a,,11/8/23 09:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_vaQYxHN.pdf,"",,,38.0,50.0,12.0
84611,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,11/5/23,11/7/23,,"",,185164,1313,rv,,rv,,11/8/23 09:34,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Vow57W6.pdf,"",,,43.0,49.0,8.0
84685,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,11/2/23,11/7/23,,"",,186305,1010,a,,a,,11/15/23 10:28,"",https://law.marquette.edu/poll/2023/11/14/detailed-results-of-the-marquette-law-school-supreme-court-poll-november-2-7-2023/,"",,,41.0,59.0,0
84685,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,11/2/23,11/7/23,,"",,186454,856,rv,,rv,,11/16/23 08:52,"",https://law.marquette.edu/poll/wp-content/uploads/2023/11/MLSPSC17ToplinesRV.html,"",,,44.0,56.0,0
84685,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,10.0,,11/2/23,11/7/23,,"",,186455,668,lv,,lv,,11/16/23 08:52,"",https://law.marquette.edu/poll/wp-content/uploads/2023/11/MLSPSC17ToplinesLV.html,"",,,45.0,55.0,0
84513,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,10/28/23,10/31/23,,"",,184346,1500,a,,a,,11/1/23 10:23,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_cIQloVR.pdf,"",,,35.0,48.0,16.0
84513,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,10/28/23,10/31/23,,"",,184347,1333,rv,,rv,,11/1/23 10:23,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_bpzPgoE.pdf,"",,,40.0,50.0,10.0
84487,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,10/21/23,10/24/23,,"",,184175,1500,a,,a,,10/25/23 10:56,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WzgzhWp.pdf,"",,,33.0,52.0,14.0
84487,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,10/21/23,10/24/23,,"",,184176,1296,rv,,rv,,10/25/23 10:56,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WzgzhWp.pdf,"",,,36.0,55.0,9.0
84446,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,10/14/23,10/17/23,,"",,183790,1500,a,,a,,10/18/23 11:07,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_3WmN9jD.pdf,"",,,38.0,47.0,15.0
84446,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,10/14/23,10/17/23,,"",,183791,1296,rv,,rv,,10/18/23 11:07,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uXN5Bmo.pdf,"",,,41.0,50.0,9.0
84373,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,,,10/8/23,10/10/23,,"",,183431,1500,a,,a,,10/11/23 10:13,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8o4rs21.pdf,"",,,37.0,48.0,14.0
84373,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,,,10/8/23,10/10/23,,"",,183432,1319,rv,,rv,,10/11/23 10:13,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8o4rs21.pdf,"",,,42.0,49.0,9.0
84306,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,,,9/30/23,10/3/23,,"",,182733,1500,a,,a,,10/4/23 10:26,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_ZHdSXzq.pdf,"",,,38.0,49.0,14.0
84306,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,,,9/30/23,10/3/23,,"",,182734,1368,rv,,rv,,10/4/23 10:26,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ZYxhZlV.pdf,"",,,44.0,49.0,7.0
84250,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,,,9/23/23,9/26/23,,"",,182285,1500,a,,a,,9/27/23 09:49,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_RTVZfCv.pdf,"",,,37.0,50.0,13.0
84250,568,YouGov,352,Economist,YouGov,391,YouGov,2.9,-1.1,Online Panel,,,9/23/23,9/26/23,,"",,182286,1293,rv,,rv,,9/27/23 09:49,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wyX9VrC.pdf,"",,,37.0,55.0,8.0
84308,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,,,9/18/23,9/25/23,,"",,182738,1007,a,,a,,10/4/23 10:28,"",https://law.marquette.edu/poll/2023/10/04/detailed-results-of-the-marquette-law-school-supreme-court-poll-september-18-25-2023/,"",,,43.0,57.0,0
84308,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,,,9/18/23,9/25/23,,"",,183081,868,rv,,rv,,10/5/23 10:02,"",https://law.marquette.edu/poll/wp-content/uploads/2023/10/MLSPSC16ToplinesRV.html,"",,,44.0,56.0,0
84308,1075,Marquette Law School,"","",Marquette University Law School,195,Marquette University Law School,3.0,-1.0,Probability Panel,,,9/18/23,9/25/23,,"",,183085,690,lv,,lv,,10/5/23 10:02,"",https://law.marquette.edu/poll/wp-content/uploads/2023/10/MLSPSC16ToplinesLV.html,"",,,46.0,54.0,0
